idPrenotazione;dataPrenotazione;dataInizio;dataFine;numeroPasseggeri;conPatente;stato;idCliente;matricolaBarca
101;20/08/2026;29/08/2026;31/08/2026;4;sì;COMPLETATA;1;NA-M001
102;01/08/2026;10/08/2026;11/08/2026;3;no;COMPLETATA;2;PO-V001
103;24/08/2026;05/09/2026;07/09/2026;5;sì;CONFERMATA;3;NA-M002
104;25/08/2026;12/09/2026;13/09/2026;2;no;ANNULLATA;4;BA-V002
105;15/08/2026;20/08/2026;20/08/2026;4;sì;COMPLETATA;6;BA-V002
106;27/08/2026;15/09/2026;17/09/2026;4;no;CONFERMATA;2;PO-V001
107;22/08/2026;02/09/2026;03/09/2026;3;no;ANNULLATA;5;PO-M003
108;28/08/2026;20/09/2026;22/09/2026;4;sì;CONFERMATA;6;NA-M002
109;01/09/2026;01/09/2026;03/09/2026;3;sì;NOLEGGIATA;7;PO-V001
110;01/09/2026;02/09/2026;03/09/2026;2;sì;CONFERMATA;7;PO-M003
111;01/09/2026;02/09/2026;04/09/2026;4;sì;ANNULLATA;7;NA-M001
